MID,ONEWAY,FNODE_,TNODE_,Length
0,F,1,2,39
1,F,1,2,33
2,F,2,3,9
3,F,4,1,8
4,F,3,4,30
5,F,5,4,27
6,F,3,5,33
7,B,7,6,82
8,B,9,7,61
9,B,10,9,67
10,B,10,8,135
11,F,7,11,77
12,F,11,12,123
13,F,13,11,38
14,F,9,13,65
15,F,14,8,318
16,F,16,13,92
17,B,10,16,62
18,F,17,11,54
19,F,17,16,132
20,B,12,18,52
21,F,18,17,110
22,B,15,19,79
23,F,15,20,72
24,B,21,16,57
25,F,22,17,53
26,F,22,21,138
27,B,23,10,255
28,F,23,14,129
29,B,24,23,21
30,F,20,24,60
31,F,21,25,25
32,B,19,26,86
33,F,27,20,77
34,F,27,19,78
35,B,23,28,62
36,B,18,29,103
37,B,29,30,12
38,F,31,29,69
39,F,4,32,477
40,F,33,27,85
41,F,33,26,83
42,F,34,1,490
43,F,31,35,11
44,F,30,35,67
45,F,36,34,16
46,F,38,36,16
47,F,38,34,5
48,F,39,38,8
49,F,32,39,6
50,F,40,28,61
51,B,36,41,39
52,F,42,37,12
53,F,35,42,59
54,F,25,43,83
55,F,44,22,111
56,F,43,44,152
57,F,43,45,135
58,F,25,45,174
59,F,28,45,87
60,F,46,33,57
61,B,26,47,171
62,F,45,48,85
63,F,48,40,52
64,B,47,49,31
65,F,50,48,87
66,F,50,40,100
67,F,48,51,26
68,F,52,50,12
69,F,52,46,63
70,B,49,56,68
71,F,41,57,103
72,F,58,33,166
73,B,47,58,90
74,F,45,59,74
75,F,59,51,75
76,F,60,30,163
77,F,60,44,94
78,F,61,58,33
79,F,61,49,91
80,F,51,62,57
81,F,62,52,92
82,F,63,52,71
83,F,53,63,76
84,B,66,53,87
85,B,58,66,59
86,B,41,67,162
87,F,57,67,89
88,F,35,68,175
89,F,60,68,104
90,F,69,63,46
91,B,70,66,38
92,F,70,61,60
93,F,59,71,72
94,F,71,62,70
95,F,72,61,73
96,B,72,56,91
97,F,57,74,82
98,B,56,77,167
99,F,78,69,49
100,B,66,78,92
101,B,67,79,80
102,F,74,79,80
103,B,80,70,80
104,B,80,72,64
105,F,68,81,97
106,F,71,82,78
107,F,63,82,166
108,F,81,83,6
109,B,79,84,37
110,F,85,78,40
111,F,85,70,96
112,F,83,86,43
113,F,87,85,50
114,F,77,88,66
115,B,78,89,80
116,B,77,90,108
117,F,82,91,53
118,F,69,91,168
119,F,92,87,45
120,B,92,80,73
121,B,90,93,31
122,B,94,80,103
123,F,95,60,209
124,B,79,96,80
125,B,96,97,33
126,F,88,98,60
127,F,82,99,132
128,F,91,100,54
129,F,100,89,89
130,F,101,88,109
131,F,101,90,61
132,F,83,102,103
133,F,102,95,94
134,F,103,92,111
135,B,94,103,49
136,F,104,89,90
137,F,104,87,105
138,F,105,101,23
139,F,93,105,62
140,F,106,92,74
141,B,93,107,92
142,B,108,86,99
143,F,108,102,59
144,F,100,109,37
145,F,89,109,99
146,B,110,94,87
147,F,98,110,54
148,F,99,111,57
149,B,96,112,87
150,B,113,112,85
151,F,98,114,111
152,F,114,101,58
153,F,115,104,49
154,F,115,106,57
155,F,117,108,72
156,F,114,118,13
157,F,105,118,58
158,B,107,119,74
159,F,120,95,113
160,F,99,120,113
161,F,121,105,100
162,F,121,107,57
163,F,109,122,52
164,F,122,104,90
165,F,106,123,120
166,B,103,123,74
167,B,124,125,64
168,B,112,125,75
169,F,126,117,76
170,B,119,127,47
171,F,128,120,38
172,F,111,129,68
173,F,129,100,137
174,F,122,130,51
175,F,130,115,85
176,F,131,108,90
177,B,125,132,65
178,B,127,133,34
179,F,118,134,106
180,F,134,121,60
181,F,135,128,27
182,F,111,135,116
183,B,136,110,120
184,F,118,136,83
185,F,137,133,125
186,B,127,137,112
187,F,102,138,153
188,F,129,139,63
189,F,109,139,140
190,B,125,140,77
191,F,138,141,10
192,F,141,128,106
193,F,142,117,100
194,F,131,142,78
195,F,143,115,133
196,B,123,143,99
197,F,144,135,48
198,F,144,129,117
199,F,145,131,49
200,B,137,146,139
201,B,146,147,26
202,F,141,148,29
203,F,135,148,109
204,B,140,149,38
205,B,140,149,192
206,F,150,145,23
207,F,150,138,84
208,B,151,143,47
209,F,142,152,80
210,B,153,136,102
211,F,153,134,104
212,F,154,145,79
213,B,147,155,166
214,F,139,156,68
215,F,156,130,133
216,F,130,157,119
217,F,143,157,97
218,B,158,151,38
219,F,159,160,94
220,F,148,161,48
221,B,161,144,114
222,F,162,150,42
223,F,148,162,90
224,F,163,146,62
225,F,163,164,26
226,F,147,164,63
227,B,155,165,178
228,F,167,166,99
229,F,168,144,87
230,F,139,168,128
231,B,165,169,18
232,F,157,170,51
233,F,170,151,100
234,B,171,166,32
235,F,171,119,251
236,B,149,172,88
237,F,164,173,172
238,B,173,155,65
239,B,169,174,173
240,F,175,162,51
241,F,161,175,99
242,B,176,158,77
243,B,177,171,17
244,F,178,163,53
245,F,156,179,96
246,F,157,179,134
247,F,180,168,70
248,F,180,156,131
249,F,161,181,87
250,F,168,181,121
251,B,172,183,106
252,F,170,184,67
253,F,158,184,106
254,F,185,180,11
