ORGID,NODEID,xLon,yLat
80,1,-74.01411735600,40.70121375700
96,2,-74.01374012600,40.70117605990
95,3,-74.01376880210,40.70124721600
81,4,-74.01411138800,40.70128468290
86,5,-74.01397620000,40.70149430000
94,6,-74.01378880000,40.70239340000
119,7,-74.01283710000,40.70244150000
163,8,-74.01115610000,40.70179380000
128,9,-74.01221170000,40.70271320000
153,10,-74.01150910000,40.70296870000
114,11,-74.01300410000,40.70311740000
71,12,-74.01443840000,40.70315160000
123,13,-74.01257000000,40.70320700000
332,14,-74.00797710000,40.70320820000
350,15,-74.00777870000,40.70332420000
148,16,-74.01158250000,40.70351870000
111,17,-74.01311400000,40.70358800000
72,18,-74.01440360000,40.70361430000
391,19,-74.00706070000,40.70376910000
305,20,-74.00832500000,40.70381300000
149,21,-74.01157600000,40.70402610000
109,22,-74.01319200000,40.70405870000
259,23,-74.00896360000,40.70408380000
272,24,-74.00878900000,40.70421100000
150,25,-74.01156900000,40.70424900000
465,26,-74.00628890000,40.70425680000
356,27,-74.00767100000,40.70428500000
238,28,-74.00942400000,40.70450780000
77,29,-74.01424490000,40.70452370000
78,30,-74.01422030000,40.70463270000
59,31,-74.01500620000,40.70473340000
23,32,-74.01663699110,40.70479939600
404,33,-74.00694960000,40.70480170000
18,34,-74.01672965400,40.70480488410
61,35,-74.01496080000,40.70482140000
15,36,-74.01690870000,40.70483170000
42,37,-74.01565040000,40.70483710000
19,38,-74.01672585000,40.70484645400
24,39,-74.01663204200,40.70485384010
266,40,-74.00887810000,40.70486030000
11,41,-74.01735200000,40.70491760000
43,42,-74.01563760000,40.70494470000
151,43,-74.01155030000,40.70499090000
104,44,-74.01331730000,40.70504500000
211,45,-74.00998400000,40.70514800000
377,46,-74.00739200000,40.70518300000
586,47,-74.00475220000,40.70523720000
255,48,-74.00901600000,40.70531300000
603,49,-74.00447460000,40.70541110000
330,50,-74.00800700000,40.70544700000
253,51,-74.00905280000,40.70554180000
336,52,-74.00794900000,40.70554700000
425,53,-74.00676600000,40.70562400000
47,54,-74.01526490000,40.70529200000
54,55,-74.01511190000,40.70573400000
636,56,-74.00386160000,40.70579340000
13,57,-74.01701230000,40.70579390000
529,58,-74.00550720000,40.70579400000
219,59,-74.00986600000,40.70579700000
106,60,-74.01324060000,40.70587130000
556,61,-74.00521810000,40.70598690000
269,62,-74.00883080000,40.70601940000
374,63,-74.00745200000,40.70605100000
67,64,-74.01463690000,40.70611260000
56,65,-74.01505580000,40.70524520000
489,66,-74.00601570000,40.70614600000
3,67,-74.01793000000,40.70617500000
75,68,-74.01430970000,40.70629250000
388,69,-74.00713000000,40.70637500000
514,70,-74.00569100000,40.70637500000
235,71,-74.00950200000,40.70637900000
597,72,-74.00455800000,40.70640700000
35,73,-74.01604940000,40.70649620000
17,74,-74.01674360000,40.70649890000
32,75,-74.01623240000,40.70662860000
36,76,-74.01595330000,40.70667700000
729,77,-74.00233230000,40.70671450000
422,78,-74.00678100000,40.70672400000
7,79,-74.01756990000,40.70683230000
572,80,-74.00500090000,40.70685350000
100,81,-74.01354590000,40.70691580000
257,82,-74.00899600000,40.70695300000
101,83,-74.01350640000,40.70696360000
2,84,-74.01794590000,40.70699120000
451,85,-74.00646960000,40.70699300000
88,86,-74.01394470000,40.70714460000
496,87,-74.00595100000,40.70720500000
705,88,-74.00274400000,40.70721600000
373,89,-74.00745900000,40.70721900000
794,90,-74.00131720000,40.70728690000
281,91,-74.00863520000,40.70733470000
531,92,-74.00548200000,40.70738700000
811,93,-74.00102320000,40.70744290000
623,94,-74.00408520000,40.70744670000
136,95,-74.01194700000,40.70745200000
12,96,-74.01711750000,40.70745690000
9,97,-74.01745640000,40.70759880000
684,98,-74.00310800000,40.70767100000
198,99,-74.01020100000,40.70769400000
310,100,-74.00826900000,40.70772190000
765,101,-74.00168290000,40.70775870000
116,102,-74.01295830000,40.70777660000
612,103,-74.00432760000,40.70783600000
417,104,-74.00683570000,40.70785500000
779,105,-74.00146870000,40.70787660000
487,106,-74.00602100000,40.70790500000
866,107,-74.00014060000,40.70791140000
98,108,-74.01359990000,40.70798320000
326,109,-74.00801590000,40.70798810000
662,110,-74.00345840000,40.70806170000
221,111,-74.00982900000,40.70811700000
25,112,-74.01662600000,40.70813400000
39,113,-74.01577540000,40.70774570000
748,114,-74.00201920000,40.70821190000
443,115,-74.00653100000,40.70822700000
45,116,-74.01551220000,40.70770080000
74,117,-74.01437780000,40.70823210000
755,118,-74.00189520000,40.70827350000
906,119,-73.99943040000,40.70828830000
159,120,-74.01124800000,40.70830400000
851,121,-74.00047370000,40.70835350000
359,122,-74.00765250000,40.70835710000
585,123,-74.00477360000,40.70840630000
5,124,-74.01776400000,40.70796160000
10,125,-74.01739800000,40.70845700000
53,126,-74.01519710000,40.70849450000
933,127,-73.99900030000,40.70854570000
167,128,-74.01101470000,40.70859200000
240,129,-74.00937100000,40.70861400000
382,130,-74.00728830000,40.70871430000
105,131,-74.01325920000,40.70874180000
1,132,-74.01805490000,40.70874880000
915,133,-73.99926430000,40.70877050000
822,134,-74.00086010000,40.70879400000
172,135,-74.01084600000,40.70879700000
718,136,-74.00250300000,40.70884600000
1006,137,-73.99783130000,40.70897890000
130,138,-74.01213480000,40.70899250000
264,139,-74.00889300000,40.70904400000
14,140,-74.01696150000,40.70905550000
132,141,-74.01208280000,40.70906960000
84,142,-74.01404870000,40.70908790000
533,143,-74.00547380000,40.70909500000
182,144,-74.01054200000,40.70915400000
112,145,-74.01307850000,40.70915870000
1117,146,-73.99623100000,40.70920570000
1134,147,-73.99593320000,40.70924800000
138,148,-74.01193500000,40.70930600000
16,149,-74.01675180000,40.70935320000
115,150,-74.01299200000,40.70935400000
564,151,-74.00511830000,40.70940910000
62,152,-74.01486420000,40.70944580000
768,153,-74.00165700000,40.70949160000
90,154,-74.01388820000,40.70950530000
1288,155,-73.99402710000,40.70951820000
295,156,-74.00841800000,40.70953000000
455,157,-74.00643500000,40.70955700000
579,158,-74.00482700000,40.70966000000
777,159,-74.00148971510,40.70968159500
829,160,-74.00072730000,40.70907350000
145,161,-74.01167400000,40.70968700000
118,162,-74.01283900000,40.70971000000
1105,163,-73.99638230000,40.70974870000
1124,164,-73.99607950000,40.70979460000
1430,165,-73.99198150000,40.70980250000
788,166,-74.00139681300,40.70980532890
841,167,-74.00059510000,40.70916410000
210,168,-74.00998800000,40.70980600000
1441,169,-73.99177700000,40.70983190000
480,170,-74.00607600000,40.70991780000
797,171,-74.00121060000,40.71005620000
31,172,-74.01637510000,40.71008480000
1281,173,-73.99410330000,40.71009390000
1578,174,-73.98978460000,40.71013140000
122,175,-74.01267140000,40.71014520000
616,176,-74.00425010000,40.71018500000
804,177,-74.00111230000,40.71019280000
1098,178,-73.99650840000,40.71021370000
352,179,-74.00774500000,40.71022100000
232,180,-74.00954300000,40.71032700000
162,181,-74.01119310000,40.71036900000
8,183,-74.01755300000,40.71037180000
522,184,-74.00559900000,40.71039700000
236,185,-74.00947400000,40.71041300000
69,186,-74.01456330000,40.71042590000
630,187,-74.00393920000,40.71044850000
1808,188,-73.98658610000,40.71049350000
1934,189,-73.98464611090,40.71053495510
1936,190,-73.98463560000,40.71050450000
1275,191,-73.99414170000,40.71055730000
378,192,-74.00738420000,40.71057610000
1933,193,-73.98467870300,40.71062939510
683,194,-74.00311670000,40.71064220000
1929,195,-73.98471080000,40.71072240000
2002,196,-73.98384000000,40.71077500000
668,197,-74.00339340000,40.71081050000
2042,198,-73.98325500000,40.71081600000
251,199,-74.00906300000,40.71088700000
1413,200,-73.99222230000,40.71090640000
1431,201,-73.99197960000,40.71094180000
652,202,-74.00362400000,40.71095200000
175,203,-74.01076080000,40.71100790000
1562,204,-73.98993800000,40.71121100000
449,205,-74.00647800000,40.71123100000
1575,206,-73.98979720000,40.71123270000
1921,207,-73.98478690000,40.71123700000
1587,208,-73.98964460000,40.71125400000
660,209,-74.00348260000,40.71127110000
1995,210,-73.98391230000,40.71129640000
2017,211,-73.98361610000,40.71131790000
2040,212,-73.98330980000,40.71134010000
1079,213,-73.99678810000,40.71137950000
282,214,-74.00863380000,40.71138990000
2261,215,-73.98062250000,40.71152070000
184,216,-74.01046500000,40.71153500000
1796,217,-73.98673870000,40.71153560000
38,218,-74.01580850000,40.71156540000
1261,219,-73.99426430000,40.71160120000
648,220,-74.00366690000,40.71160700000
504,221,-74.00584740000,40.71168830000
401,222,-74.00696610000,40.71170080000
1914,223,-73.98485630000,40.71172490000
1394,224,-73.99245890000,40.71175970000
884,225,-73.99971050000,40.71178460000
393,226,-74.00704960000,40.71178840000
0,227,-74.01569770000,40.71184770000
954,228,-73.99868170000,40.71187900000
486,229,-74.00603930000,40.71191610000
1563,230,-73.98991050000,40.71196960000
1013,231,-73.99777590000,40.71197370000
1581,232,-73.98975830000,40.71198120000
321,233,-74.00812250000,40.71199260000
479,234,-74.00608760000,40.71202670000
134,235,-74.01197060000,40.71208110000
1069,236,-73.99692820000,40.71208510000
200,237,-74.01013030000,40.71209040000
2253,238,-73.98071140000,40.71221160000
1257,239,-73.99435320000,40.71231810000
1309,240,-73.99375070000,40.71236960000
1386,241,-73.99256110000,40.71246880000
1407,242,-73.99226690000,40.71247290000
358,243,-74.00766020000,40.71254090000
937,244,-73.99893430000,40.71255350000
1555,245,-73.99001580000,40.71265360000
1568,246,-73.98986550000,40.71266630000
227,247,-74.00967470000,40.71272640000
993,248,-73.99799340000,40.71273070000
1667,249,-73.98849260000,40.71278300000
1054,250,-73.99711560000,40.71280370000
142,251,-74.01173240000,40.71282060000
85,252,-74.01398280000,40.71291550000
1783,253,-73.98692490000,40.71292040000
824,254,-74.00085760000,40.71300890000
621,255,-74.00409600000,40.71171050000
1249,256,-73.99445900000,40.71302100000
385,257,-74.00722540000,40.71304470000
1282,258,-73.99407500000,40.71305280000
821,259,-74.00087280000,40.71306640000
714,260,-74.00256520000,40.71266280000
1899,261,-73.98505810000,40.71308680000
1320,262,-73.99362030000,40.71309130000
624,263,-74.00405900000,40.71313500000
680,264,-74.00315080000,40.71275290000
1379,265,-73.99266510000,40.71316900000
1400,266,-73.99237280000,40.71319730000
1997,267,-73.98388930000,40.71321310000
2466,268,-73.97758600000,40.71325000000
244,269,-74.00926620000,40.71325840000
978,270,-73.99826940000,40.71329060000
168,271,-74.01099970000,40.71333210000
1548,272,-73.99012490000,40.71338200000
965,273,-73.99849310000,40.71345180000
1044,274,-73.99729840000,40.71346880000
1893,275,-73.98509520000,40.71348770000
580,276,-74.00482350000,40.71348860000
1656,277,-73.98859840000,40.71350740000
956,278,-73.99864380000,40.71352330000
2245,279,-73.98085650000,40.71356430000
140,280,-74.01177330000,40.71300170000
147,281,-74.01161700000,40.71361730000
426,282,-74.00675300000,40.71361800000
1771,283,-73.98708550000,40.71364870000
651,284,-74.00362560000,40.71364990000
995,285,-73.99798100000,40.71367280000
1244,286,-73.99455930000,40.71369680000
1297,287,-73.99394520000,40.71374750000
985,288,-73.99807430000,40.71378110000
1891,289,-73.98521630000,40.71379800000
267,290,-74.00884630000,40.71380560000
1900,291,-73.98504890000,40.71380720000
2332,292,-73.97941330000,40.71381150000
1359,293,-73.99297650000,40.71382830000
1375,294,-73.99275070000,40.71384710000
179,295,-74.01056660000,40.71385430000
1392,296,-73.99249500000,40.71386840000
899,297,-73.99953800000,40.71394720000
688,298,-74.00305560000,40.71397120000
2297,299,-73.97996000000,40.71397620000
1029,300,-73.99749220000,40.71399620000
607,301,-74.00440300000,40.71400450000
1543,302,-73.99019640000,40.71405390000
1023,303,-73.99759440000,40.71406110000
1032,304,-73.99741370000,40.71408600000
1059,305,-73.99709930000,40.71407230000
666,306,-74.00341720000,40.71411860000
464,307,-74.00630410000,40.71417330000
1648,308,-73.98869600000,40.71418430000
2198,309,-73.98145010000,40.71418840000
1223,310,-73.99483410000,40.71421670000
1041,311,-73.99731580000,40.71422490000
2239,312,-73.98089190000,40.71425220000
1276,313,-73.99413690000,40.71426980000
1296,314,-73.99394810000,40.71428420000
152,315,-74.01152700000,40.71429400000
710,316,-74.00261610000,40.71429830000
1763,317,-73.98716950000,40.71431700000
1356,318,-73.99304460000,40.71435310000
